date,open,high,low,close,volume,turnover rate,PE_TTM,PB_LF,number of advancing stocks,number of declining stocks,market capitalization
2010/5/12,2781.71,2832.15,2756.42,2818.16,646.94,0.48,16.52,2.43,159,124,176916.24
2010/5/13,2818.58,2886.97,2811.66,2886.91,674.87,0.5,16.84,2.48,278,10,180385.04
2010/5/14,2865.58,2888.09,2849.24,2868.02,551.75,0.38,16.72,2.46,82,205,179037.64
2010/5/17,2828.88,2828.88,2712.44,2714.72,623.96,0.47,15.92,2.34,5,288,170536.51
2010/5/18,2711.41,2781.85,2686.97,2771.35,627.46,0.49,16.17,2.38,239,39,173218.92
2010/5/19,2748.95,2803.7,2723.3,2762.17,546.56,0.41,16.12,2.37,106,178,172642.46
2010/5/20,2739.22,2793.88,2721.07,2726.02,526.78,0.38,15.96,2.35,44,236,170957.27
2010/5/21,2656.42,2769.09,2647.6,2768.79,635.02,0.49,16.13,2.37,257,28,172794.22
2010/5/24,2787.75,2886.37,2787.75,2873.47,899.62,0.67,16.64,2.45,292,0,178234.39
2010/5/25,2851.26,2855.33,2798.02,2813.94,679.55,0.49,16.28,2.4,50,239,174322.59
2010/5/26,2814.44,2839.03,2797.63,2813.94,484.96,0.36,16.28,2.4,134,140,174372.27
2010/5/27,2808.05,2866.87,2771.59,2859.98,652.67,0.48,16.45,2.44,282,4,176182.45
2010/5/28,2885.86,2893.69,2835.07,2850.3,643.43,0.46,16.43,2.44,94,186,175928.36
2010/5/31,2835.33,2857.42,2772.79,2773.26,566.96,0.41,16.08,2.39,16,270,172228.14
2010/6/1,2755.28,2782.29,2710.59,2744.16,532.31,0.4,15.97,2.37,50,235,170979.11
2010/6/2,2729.33,2757.91,2700.08,2757.53,463.64,0.35,15.93,2.36,221,65,170608.22
2010/6/3,2769.1,2787.51,2735.7,2736.08,471.43,0.35,15.82,2.35,47,237,169426.64
2010/6/4,2721.36,2748.48,2713.1,2744.39,398.58,0.29,15.82,2.36,177,99,169386.92
2010/6/7,2692.83,2716.4,2673.34,2695.72,470.63,0.35,15.5,2.32,55,238,166023.38
2010/6/8,2694.11,2720.59,2672.06,2699.34,426.77,0.31,15.47,2.31,186,93,165716.76
2010/6/9,2711.64,2787.83,2687.33,2782.13,707.1,0.53,15.93,2.38,282,9,170628.01
2010/6/10,2755.94,2776.26,2746.11,2750.02,503.12,0.38,15.76,2.35,64,219,168818.92
2010/6/11,2766.2,2782.1,2755.95,2758.87,488.71,0.36,15.84,2.36,164,115,169600.62
2010/6/17,2778.53,2784.92,2742.64,2742.73,402.93,0.29,15.8,2.36,81,190,169255.66
2010/6/18,2739.03,2755.84,2686.61,2696.17,502.56,0.37,15.59,2.33,36,245,166976.84
2010/6/21,2698.98,2784.47,2686.32,2780.66,628.09,0.49,16.06,2.4,282,10,172023.34
2010/6/22,2772.89,2795.32,2766.44,2783.72,452.07,0.34,16.06,2.4,157,115,172039.21
