date,open,high,low,close,volume
2025/1/10,"19,312.26",19315.11,19018.75,19161.63,8034367475
2025/1/13,"18,903.66",19099.97,18831.91,19088.1,7436178407
2025/1/14,"19,207.75",19273.14,18926.6,19044.39,6528014923
2025/1/15,"19,350.31",19548.9,19299.32,19511.23,6802959779
2025/1/16,"19,573.87",19579.85,19335.68,19338.29,6663393212
2025/1/17,"19,655.55",19709.64,19543.32,19630.2,7637210728
2025/1/21,"19,734.39",19789.62,19551.17,19756.78,7630328273
2025/1/22,"19,903.05",20068.52,19903.05,20009.34,6886365013
2025/1/23,"19,906.99",20053.68,19892.55,20053.68,6469890289
2025/1/24,"20,087.11",20118.61,19897.13,19954.3,7466105500
2025/1/27,"19,234.04",19514.35,19204.95,19341.83,8151787590
2025/2/5,"19,533.05",19696.94,19498.9,19692.33,6351763820
2025/2/6,"19,725.83",19793.36,19654.11,19791.99,6417840604
2025/2/7,"19,774.87",19862.55,19489.36,19523.4,7380072742
2025/2/10,"19,668.18",19772.04,19650.79,19714.27,9237838521
2025/2/11,"19,602.11",19731.93,19579.77,19643.86,9051947094
2025/2/12,"19,436.51",19682.51,19415.48,19649.95,7613160470
2025/2/13,"19,696.92",19952.17,19675.87,19945.64,8033073986
2025/2/14,"19,956.82",20045.76,19932.15,20026.77,7701716087
2025/2/17,0,0,0,20026.77,0
2025/2/18,"20,090.55",20110.11,19909.74,20041.26,8465424853
2025/2/19,"19,994.50",20099.39,19928.89,20056.25,7802490031
2025/2/20,"20,029.19",20041.15,19795.02,19962.36,7016514484
2025/2/21,"20,006.69",20016.66,19510.91,19524.01,7964496758
2025/2/24,"19,590.85",19644.23,19275.46,19286.92,6948719458
2025/2/25,"19,242.61",19256.35,18871.52,19026.39,7185610823
2025/2/26,"19,109.32",19286.02,18966.45,19075.26,6439350373
2025/2/27,"19,212.36",19242.69,18535.22,18544.42,6936735477
2025/2/28,"18,477.17",18861.33,18372.99,18847.28,7507148705
2025/3/3,"18,923.36",18992.3,18216.63,18350.19,7330203468
2025/3/4,"18,176.43",18589.49,17956.6,18285.16,7421351657
2025/3/5,"18,312.97",18604.47,18144.73,18552.73,6291394848
2025/3/6,"18,204.53",18439.24,17980.39,18069.26,6937832821
2025/3/7,"18,029.85",18243.58,17768.59,18196.22,7345580006
2025/3/10,"17,840.32",17868.07,17291.82,17468.32,7559855972
2025/3/11,"17,443.09",17687.4,17238.24,17436.1,8117759414
2025/3/12,"17,711.41",17800.1,17436.27,17648.45,6952224745
2025/3/13,"17,598.56",17621.91,17239.44,17303.01,6322371295
2025/3/14,"17,523.30",17773.48,17491.08,17754.09,6486365490
2025/3/17,"17,722.55",17925.94,17645.87,17808.66,5647036098
2025/3/18,"17,662.57",17682.92,17431.67,17504.12,5777745754
2025/3/19,"17,590.12",17917.54,17533.94,17750.79,5648824148
2025/3/20,"17,586.06",17903.2,17576.82,17691.63,5452508439
2025/3/21,"17,519.84",17798.06,17474.81,17784.05,8386206357
2025/3/24,"18,046.18",18210.05,18030.68,18188.59,6191119189
2025/3/25,"18,207.97",18281.13,18170.42,18271.86,5926080505
2025/3/26,"18,217.33",18236.55,17837.26,17899.01,8556989223
2025/3/27,"17,811.24",17988.02,17743.8,17804.03,7318831177
2025/3/28,"17,722.09",17763.28,17283.06,17322.99,6396929270
2025/3/31,"17,045.44",17334.98,16854.37,17299.29,7365801346
2025/4/1,"17,221.55",17506.58,17149.36,17449.89,7141004210
2025/4/2,"17,207.01",17716.52,17181.27,17601.05,8608377262
2025/4/3,"16,790.53",16889.34,16533.04,16550.61,8387814684
2025/4/7,"14,978.03",16292.28,14784.03,15603.26,10228466100
2025/4/8,"16,181.04",16316.51,15053.39,15267.91,9056405987
2025/4/9,"15,295.44",17202.94,15270.28,17124.97,11815692127
2025/4/10,"16,635.45",16712.37,15894.27,16387.31,10690771449
2025/4/11,"16,358.53",16753.41,16228.04,16724.46,8448004666
2025/4/14,"17,120.44",17136.55,16661.26,16831.48,8951888361
2025/4/15,"16,842.39",16979.96,16753.22,16823.17,7160029668
2025/4/16,"16,499.69",16600.36,16066.46,16307.16,7223894137
2025/4/17,"16,399.97",16408.51,16181.17,16286.45,6537521330
2025/4/21,"16,052.76",16066.79,15685.33,15870.9,6017943886
2025/4/22,"16,079.94",16410.56,16038.73,16300.42,6208969372
2025/4/23,"16,880.29",17029.86,16642.66,16708.05,7611944987
2025/4/24,"16,754.76",17174.35,16744.97,17166.04,6988448303
2025/4/25,"17,182.11",17404.49,17110.72,17382.94,6595491808
2025/4/28,"17,390.93",17467.35,17128.71,17366.13,9919195738
2025/4/29,"17,270.76",17500.41,17256.2,17461.32,12590100559
2025/4/30,"17,099.98",17483.82,16959.53,17446.34,7847747539
2025/5/6,"17,623.21",17830.35,17592.88,17689.66,6529176767
2025/5/7,"17,706.83",17820.3,17503.01,17738.16,7470880536
2025/5/8,"17,920.15",18096,17776,17928.14,7831589559
2025/5/9,"18,022.55",18068.9,17853.84,17928.92,8257947898
2025/5/12,"18,674.55",18710.22,18472.71,18708.34,9964957020
2025/5/13,"18,761.23",19065.96,18745.5,19010.08,8333787086
2025/5/14,"19,074.72",19174.55,19023.61,19146.81,11159028041
2025/5/15,"19,031.24",19207.22,18967.78,19112.32,9940649997
2025/5/16,"19,151.54",19213.42,19038.48,19211.1,10072050608
2025/5/19,"18,937.42",19227.22,18937.42,19215.46,10205371773
2025/5/20,"19,132.06",19186.68,19015.63,19142.71,8344634745
2025/5/21,"19,002.94",19241.41,18799.2,18872.64,9871462819
2025/5/22,"18,888.05",19061.11,18840.34,18925.73,7480830189
2025/5/23,"18,622.38",18841.52,18599.69,18737.21,8079483817
2025/5/27,"19,014.44",19210.95,18961.69,19199.16,8109231191
2025/5/28,"19,232.62",19276.83,19084.38,19100.94,8002635572
2025/5/29,"19,389.39",19389.39,19091.54,19175.87,10316392203
2025/5/30,"19,131.22",19157.78,18847.74,19113.77,8344611385
2025/6/3,"19,288.66",19459.28,19224.7,19398.96,7434023539
2025/6/4,"19,434.94",19493.45,19359.09,19460.49,7005575499
2025/6/5,"19,518.20",19610.51,19226.22,19298.45,7546489026
2025/6/6,"19,526.99",19593.18,19464.84,19529.95,6405665612
2025/6/9,"19,573.14",19637.56,19531.1,19591.24,8992132807
2025/6/10,"19,620.11",19730.38,19539.09,19714.99,10657479419
2025/6/11,"19,779.35",19800.46,19551.34,19615.88,11113608372
2025/6/12,"19,578.87",19690.61,19553.56,19662.48,16184239481
2025/6/13,"19,450.92",19591.87,19367.42,19406.83,8216213297
2025/6/16,"19,550.75",19733.31,19550.75,19701.21,9112529374
2025/6/17,"19,627.08",19666.56,19485.44,19521.09,8017154025
2025/6/18,"19,526.92",19660.77,19489.56,19546.27,7193783925
2025/6/20,"19,639.41",19696.11,19380.58,19447.41,9362361796
2025/6/23,"19,427.01",19643.7,19334.98,19630.97,8080229468
2025/6/24,"19,809.61",19946.72,19795.29,19912.53,7553533550
2025/6/25,"20,013.95",20052.78,19918.08,19973.55,7554259768
2025/6/26,"20,062.19",20187.15,19982.48,20167.91,7753513054
2025/6/27,"20,217.26",20311.51,20095.05,20273.46,11147885252
2025/6/30,"20,360.15",20418.31,20266.36,20369.73,7622217605
2025/7/1,"20,290.61",20339.05,20105.42,20202.89,7768931717
2025/7/2,"20,184.37",20397.22,20181.74,20393.13,7619439293
2025/7/3,"20,497.66",20624.5097,20480.2231,20601.1,5727875785
2025/7/7,"20,490.55",20511.82,20323.02,20412.52,7529146138
2025/7/8,"20,466.93",20480.89,20377.35,20418.46,7842379771
2025/7/9,"20,522.09",20645.41,20486.38,20611.34,9416331567
2025/7/10,"20,636.48",20655.39,20495.14,20630.66,9191031334
2025/7/11,"20,562.88",20647.98,20509.75,20585.53,7528986358
2025/7/14,"20,592.56",20672.34,20492.63,20640.33,7421825341
2025/7/15,"20,822.76",20836.04,20670.58,20677.8,7714681778
2025/7/16,"20,717.81",20751.05,20507.06,20730.49,8087337066
2025/7/17,"20,760.32",20911.83,20735.55,20885.65,9352999666
2025/7/18,"20,959.57",20980.56,20846.12,20895.66,8652461947
2025/7/21,"20,960.33",21077.37,20957.44,20974.17,11556961704
2025/7/22,"20,982.21",20985.34,20750.9,20892.69,10011901287
2025/7/23,"20,966.47",21023.85,20870.67,21020.02,10503429875
2025/7/24,"21,083.82",21113.1,21001.68,21057.96,12351936552
2025/7/25,"21,059.94",21159.8,21036.85,21108.32,10434633140
2025/7/28,"21,176.40",21202.18,21122.12,21178.58,10198520474
2025/7/29,"21,286.73",21303.96,21081.69,21098.29,9403632559
2025/7/30,"21,140.40",21230.88,21016.92,21129.67,8879774355
2025/7/31,"21,457.48",21457.48,21078.67,21122.45,9162675119
2025/8/1,"20,830.64",20865.63,20560.17,20650.13,8526186716
2025/8/4,"20,853.91",21055.24,20833.86,21053.58,6666154153
2025/8/5,"21,092.10",21138.72,20893.29,20916.55,7335212637
2025/8/6,"20,955.22",21183.88,20937.49,21169.42,7829793841
2025/8/7,"21,325.01",21408.15,21090.05,21242.7,8195599155
2025/8/8,"21,316.37",21464.53,21284.97,21450.02,7945259306
2025/8/11,"21,459.65",21549.73,21346.62,21385.4,8374503029
2025/8/12,"21,507.44",21689.68,21386.25,21681.9,7565142934
2025/8/13,"21,764.55",21803.75,21645.14,21713.14,7909552076
2025/8/14,"21,649.21",21766.29,21627.13,21710.67,8389770636
2025/8/15,"21,709.34",21716.18,21567.46,21622.98,7510886448
2025/8/18,"21,616.82",21651.5,21559.33,21629.77,7668904226
2025/8/19,"21,607.45",21610.24,21277.71,21314.95,7764508424
2025/8/20,"21,269.67",21269.67,20905.99,21172.86,6819574307
2025/8/21,"21,112.52",21198.76,21013.53,21100.31,5922776113
2025/8/22,"21,139.83",21545.43,21092.35,21496.53,8432950463
2025/8/25,"21,466.47",21572.18,21400.08,21449.29,7788955334
2025/8/26,"21,443.63",21550.92,21389.1,21544.27,8448888680
2025/8/27,"21,526.33",21616.17,21476.3,21590.14,7531816203
2025/8/28,"21,619.27",21742.46,21534.94,21705.16,7175142935
2025/8/29,"21,630.33",21631.15,21397.98,21455.55,6963438949
2025/9/2,"21,086.58",21293.69,21033.05,21279.63,7344947829
2025/9/3,"21,461.63",21553.98,21370.98,21497.73,6658718696
2025/9/4,"21,539.91",21711.96,21469.4,21707.69,6702601500
2025/9/5,"21,860.44",21878.81,21534.73,21700.39,7329964219
2025/9/8,"21,806.22",21885.62,21776.24,21798.7,7829037088
2025/9/9,"21,858.17",21891.42,21731.48,21879.49,7390365657
2025/9/10,"21,980.60",22000.97,21810.84,21886.06,8394203314
2025/9/11,"21,977.51",22059.71,21908.81,22043.07,9399089666
2025/9/12,"22,078.63",22182.34,22031.62,22141.1,8051126923
2025/9/15,"22,243.20",22352.25,22233,22348.75,7907228557
2025/9/16,"22,397.50",22397.5,22308.78,22333.96,7806429271
2025/9/17,"22,333.02",22339.54,22058.92,22261.33,8309704962
2025/9/18,"22,439.11",22540.93,22358.49,22470.73,9648041207
2025/9/19,"22,554.32",22645.11,22497.71,22631.48,14097889684
2025/9/22,"22,606.59",22801.9,22590.86,22788.98,8888089762
2025/9/23,"22,782.72",22785.13,22539.04,22573.47,9082316344
2025/9/24,"22,656.02",22657.45,22397,22497.86,8527837162
