date,open,high,low,close,volume
2024/3/6,5332.83 ,5405.49 ,5293.95 ,5350.10 ,1468.43 
2024/3/7,5354.33 ,5384.66 ,5277.30 ,5277.30 ,1574.42 
2024/3/8,5282.41 ,5361.71 ,5268.53 ,5349.60 ,1440.04 
2024/3/11,5342.18 ,5443.04 ,5339.26 ,5441.05 ,1735.89 
2024/3/12,5445.88 ,5473.29 ,5385.14 ,5423.72 ,1788.49 
2024/3/13,5430.04 ,5459.32 ,5389.53 ,5415.11 ,1645.26 
2024/3/14,5415.15 ,5447.54 ,5352.12 ,5392.93 ,1573.37 
2024/3/15,5380.02 ,5456.73 ,5357.18 ,5454.15 ,1587.19 
2024/3/18,5472.31 ,5528.45 ,5459.55 ,5528.45 ,1907.94 
2024/3/19,5514.55 ,5533.64 ,5477.12 ,5478.22 ,1766.62 
2024/3/20,5469.61 ,5499.24 ,5455.76 ,5493.41 ,1570.36 
2024/3/21,5505.70 ,5517.46 ,5454.23 ,5465.83 ,1592.52 
2024/3/22,5454.41 ,5463.54 ,5356.11 ,5384.57 ,1631.86 
2024/3/25,5369.78 ,5401.60 ,5292.64 ,5294.75 ,1562.52 
2024/3/26,5291.52 ,5318.88 ,5237.90 ,5284.42 ,1452.96 
2024/3/27,5280.73 ,5282.70 ,5156.68 ,5156.68 ,1298.29 
2024/3/28,5156.48 ,5276.64 ,5156.48 ,5223.81 ,1406.13 
2024/3/29,5220.55 ,5287.04 ,5211.19 ,5286.16 ,1265.74 
2024/4/1,5309.83 ,5401.78 ,5309.83 ,5401.22 ,1665.53 
2024/4/2,5395.48 ,5402.16 ,5353.31 ,5381.23 ,1557.80 
2024/4/3,5373.50 ,5386.34 ,5350.16 ,5374.60 ,1541.14 
2024/4/8,5358.96 ,5383.66 ,5297.56 ,5298.59 ,1612.61 
2024/4/9,5294.47 ,5342.90 ,5284.96 ,5342.90 ,1332.63 
2024/4/10,5335.73 ,5335.73 ,5242.86 ,5275.47 ,1322.51 
2024/4/11,5244.05 ,5353.81 ,5240.51 ,5301.81 ,1412.91 
2024/4/12,5307.72 ,5336.45 ,5270.46 ,5277.22 ,1361.45 
2024/4/15,5270.04 ,5376.05 ,5219.43 ,5339.72 ,1692.69 
2024/4/16,5309.10 ,5346.76 ,5184.65 ,5191.55 ,1687.79 
2024/4/17,5211.25 ,5339.75 ,5211.25 ,5339.75 ,1556.61 
2024/4/18,5317.80 ,5410.70 ,5299.23 ,5349.84 ,1673.39 
2024/4/19,5322.36 ,5369.95 ,5292.02 ,5314.87 ,1560.10 
2024/4/22,5289.41 ,5340.63 ,5264.19 ,5267.58 ,1501.90 
2024/4/23,5257.77 ,5280.06 ,5196.96 ,5208.27 ,1390.19 
2024/4/24,5210.18 ,5263.04 ,5183.70 ,5263.04 ,1394.71 
2024/4/25,5240.48 ,5297.16 ,5229.82 ,5259.34 ,1275.45 
2024/4/26,5258.38 ,5379.67 ,5258.38 ,5372.12 ,1937.89 
2024/4/29,5371.21 ,5488.28 ,5371.21 ,5478.49 ,2121.49 
2024/4/30,5471.17 ,5478.04 ,5436.58 ,5441.14 ,1751.44 
2024/5/6,5498.44 ,5535.95 ,5496.91 ,5528.60 ,1879.07 
2024/5/7,5532.32 ,5543.13 ,5507.50 ,5527.08 ,1621.56 
2024/5/8,5516.45 ,5516.45 ,5454.87 ,5458.76 ,1394.73 
2024/5/9,5461.36 ,5568.73 ,5461.36 ,5556.77 ,1540.00 
2024/5/10,5562.19 ,5570.57 ,5497.50 ,5535.40 ,1440.27 
2024/5/13,5503.13 ,5527.20 ,5462.51 ,5505.26 ,1461.60 
2024/5/14,5508.47 ,5538.74 ,5484.96 ,5500.74 ,1325.92 
2024/5/15,5495.56 ,5497.08 ,5441.35 ,5446.66 ,1215.26 
2024/5/16,5461.11 ,5475.37 ,5408.13 ,5424.67 ,1331.49 
2024/5/17,5418.66 ,5493.20 ,5409.70 ,5491.89 ,1392.45 
2024/5/20,5496.79 ,5536.66 ,5484.36 ,5523.50 ,1635.72 
2024/5/21,5511.48 ,5513.42 ,5460.98 ,5478.91 ,1238.32 
2024/5/22,5472.01 ,5486.30 ,5455.08 ,5468.61 ,1265.73 
2024/5/23,5448.94 ,5448.94 ,5352.39 ,5362.31 ,1357.49 
2024/5/24,5348.51 ,5400.16 ,5311.49 ,5313.45 ,1173.96 
2024/5/27,5325.85 ,5373.11 ,5284.51 ,5371.37 ,1247.86 
2024/5/28,5363.33 ,5365.47 ,5310.32 ,5316.13 ,1209.79 
2024/5/29,5308.59 ,5361.74 ,5305.96 ,5328.31 ,1127.63 
2024/5/30,5316.40 ,5349.69 ,5296.49 ,5308.66 ,1147.58 
2024/5/31,5310.72 ,5357.02 ,5308.54 ,5308.54 ,1130.20 
2024/6/3,5300.79 ,5316.34 ,5232.69 ,5274.07 ,1295.44 
2024/6/4,5263.23 ,5352.28 ,5247.58 ,5341.95 ,1178.36 
2024/6/5,5328.87 ,5347.43 ,5277.94 ,5277.94 ,1116.08 
2024/6/6,5291.52 ,5305.88 ,5213.66 ,5228.80 ,1357.40 
2024/6/7,5247.15 ,5258.82 ,5172.05 ,5208.98 ,1185.54 
2024/6/11,5182.41 ,5232.85 ,5159.33 ,5217.47 ,1196.61 
2024/6/12,5209.13 ,5245.99 ,5205.57 ,5232.95 ,1113.41 
2024/6/13,5231.91 ,5233.80 ,5182.74 ,5194.59 ,1231.94 
2024/6/14,5180.29 ,5235.88 ,5163.38 ,5213.09 ,1460.09 
2024/6/17,5189.28 ,5223.59 ,5184.60 ,5207.13 ,1357.04 
